topic,keyword,count
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)opstand(?:\W+\w+){0,1
Modern & Everyday Racism,racism,1799
Modern & Everyday Racism,discriminatie,828
Modern & Everyday Racism,culturel,819
Modern & Everyday Racism,11}?\W+racism(?!\w),590
Modern & Everyday Racism,(?<!\w)racism(?:\W+\w+){0,546
Modern & Everyday Racism,(?<!\w)discriminatie(?:\W+\w+){0,417
Modern & Everyday Racism,11}?\W+discriminatie(?!\w),340
Modern & Everyday Racism,etnisch,318
Modern & Everyday Racism,structurel,300
Modern & Everyday Racism,uitsluit,248
Modern & Everyday Racism,ongelijk,221
Modern & Everyday Racism,institutionel racism,210
Modern & Everyday Racism,(?<!\w)structurel(?:\W+\w+){0,190
Modern & Everyday Racism,11}?\W+culturel(?!\w),163
Modern & Everyday Racism,(?<!\w)culturel(?:\W+\w+){0,140
Modern & Everyday Racism,vooroordel,140
Modern & Everyday Racism,inclusie,136
Modern & Everyday Racism,11}?\W+structurel(?!\w),129
Modern & Everyday Racism,11}?\W+ongelijk(?!\w),125
Modern & Everyday Racism,migrant,116
Modern & Everyday Racism,beeldvorm,87
Modern & Everyday Racism,(?<!\w)racism(?:e)?(?:\W+\w+){0,78
Modern & Everyday Racism,12}?\W+(arbeidsmarkt|woningmarkt|onderwijs|zorg|toezicht)(?!\w),78
Modern & Everyday Racism,(?<!\w)etnisch(?:\W+\w+){0,77
Modern & Everyday Racism,11}?\W+etnisch(?!\w),71
Modern & Everyday Racism,integratie,68
Modern & Everyday Racism,stereotyper,65
Modern & Everyday Racism,(?<!\w)ongelijk(?:\W+\w+){0,64
Modern & Everyday Racism,(?<!\w)vooroordel(?:\W+\w+){0,61
Modern & Everyday Racism,11}?\W+vooroordel(?!\w),60
Modern & Everyday Racism,apart,56
Modern & Everyday Racism,migratie,55
Modern & Everyday Racism,meerstemm,49
Modern & Everyday Racism,etnisch profiler,48
Modern & Everyday Racism,ongelijk behandel,45
Modern & Everyday Racism,stereotyp,45
Modern & Everyday Racism,11}?\W+inclusie(?!\w),40
Modern & Everyday Racism,(?<!\w)inclusie(?:\W+\w+){0,39
Modern & Everyday Racism,segregatie,38
Modern & Everyday Racism,antiracism,38
Modern & Everyday Racism,educatie,37
