label,cos_Colonialism,cos_Historical slavery,cos_Modern racism& inequality
Colonialism,0.5293572397299638,0.42132789722143144,0.4111025560760077
Historical slavery,0.40962040768095326,0.533377732681941,0.36855163259249835
Modern racism& inequality,0.39726643263370925,0.3720384298574703,0.5188722355455587
