keyword,count
slavernij,62
slavernijverled,45
geschiedenis,28
slaafgemaakt,22
excuses,22
slavenhandel,15
culturel,12
voc,11
koloniaal,11
wic,9
ongelijk,8
nazat,8
emancipatie,8
archief,7
onderwijs,6
monument,6
herdenk,6
keti koti,6
arbeid,6
handel,6
11}?\W+geschiedenis(?!\w),5
11}?\W+eigendom(?!\w),5
juridisch,5
(?<!\w)arbeid(?:\W+\w+){0,5
erfgoed,5
11}?\W+ongelijk(?!\w),5
structurel,5
(?<!\w)ongelijk(?:\W+\w+){0,5
racism,5
verhal,5
oral,5
11}?\W+slavernij(?!\w),5
11}?\W+emancipatie(?!\w),5
(?<!\w)slavernij(?:\W+\w+){0,5
bronn,5
erkenn,4
(?<!\w)structurel(?:\W+\w+){0,4
11}?\W+culturel(?!\w),4
eigendom,4
tentoonstell,3
(?<!\w)emancipatie(?:\W+\w+){0,3
diaspora,3
(?<!\w)oral(?:\W+\w+){0,3
dwangarbeid,3
11}?\W+excuses(?!\w),3
(?<!\w)bronn(?:\W+\w+){0,3
(?<!\w)geschiedenis(?:\W+\w+){0,3
11}?\W+oral(?!\w),3
etnisch,3
beeldvorm,2
symbolisch datum,2
(?<!\w)tentoonstell(?:\W+\w+){0,2
educatie,2
verkop,2
herinner,2
claim,2
institutionel racism,2
meester,2
museum,2
(?<!\w)eigendom(?:\W+\w+){0,2
11}?\W+erfgoed(?!\w),2
11}?\W+koloniaal(?!\w),2
opstand,2
winst,2
herstelbetal,2
(?<!\w)koloniaal(?:\W+\w+){0,2
bezit,2
(?<!\w)etnisch(?:\W+\w+){0,2
(?<!\w)slavernijverled(?:\W+\w+){0,1
meerstemm,1
west indisch compagnie,1
11}?\W+slavernijverled(?!\w),1
toeslagenaffair,1
etnisch profiler,1
11}?\W+etnisch(?!\w),1
12}?\W+(herdenking|excuses|erkenning|adviescollege)(?!\w),1
(?<!\w)racism(?:\W+\w+){0,1
vlucht,1
(?<!\w)erfgoed(?:\W+\w+){0,1
herinneringscultur,1
