Topic,Mean,Median,Std,Min,Max
Colonialism,0.31724179896393145,0.3268429008058893,0.09951971154630403,-0.0141086305150337,0.6083362526434012
Historical Slavery,0.33818858861822787,0.3451534486186134,0.10624918038247969,0.0,0.6158837934811486
Modern Racism & Inequality,0.31087455493859106,0.316548717691498,0.10108959211427779,-0.0250714196308608,0.6326256253192971
