chunk_id,dominant_topic,dominant_score,score_margin,confidence_level
4f18bf34:00000,Colonialism,0.4764424151866492,0.1111622250610779,high
e001db73:00001,Historical Slavery,0.3689921062195094,0.1606961096666943,high
d68c406d:00000,Colonialism,0.380655880442913,0.07598632182952,high
acd0142c:00001,Historical Slavery,0.3582943957412414,0.0770297762550996,high
ef3b9806:00000,Historical Slavery,0.462516131028906,0.0964503606333661,high
0ac769e6:00000,Historical Slavery,0.5859125890281653,0.1522397784656987,high
0ac769e6:00001,Historical Slavery,0.4037284903015966,0.0515979047652349,high
faf44a8a:00000,Historical Slavery,0.5491901467241115,0.0940849253862003,high
5a86ac64:00001,Historical Slavery,0.4345535938371729,0.109178276784774,high
32ff4658:00000,Historical Slavery,0.5688307950993974,0.1527389456357891,high
32ff4658:00001,Historical Slavery,0.4234766273136487,0.060242802441966,high
2f102c73:00000,Historical Slavery,0.4873982520050591,0.0583165155035803,high
ba5fec28:00000,Historical Slavery,0.5330707891495409,0.1178852547500522,high
ba5fec28:00001,Colonialism,0.3579261654692842,0.0981403994188592,high
3b288b07:00000,Colonialism,0.4399188614213993,0.0643775617133032,high
3b288b07:00001,Modern Racism & Inequality,0.4827781580694436,0.0874494715129656,high
2d50c9e8:00000,Historical Slavery,0.4711692682379998,0.0745322376505224,high
a1a7c598:00000,Historical Slavery,0.4644257288027781,0.0715566144227375,high
a1a7c598:00001,Historical Slavery,0.6028114063158407,0.2373680027085736,high
0da66531:00000,Historical Slavery,0.549241246944696,0.1261282061853587,high
0da66531:00001,Historical Slavery,0.4802090517627261,0.1054513025305273,high
bf48bcc5:00000,Historical Slavery,0.4597507522761768,0.0844305499278449,high
bf48bcc5:00001,Historical Slavery,0.4487590171425806,0.1731648994402682,high
7ddc7d31:00000,Historical Slavery,0.4430166616964144,0.1142424096249827,high
53e9f262:00000,Historical Slavery,0.4788984255504028,0.123041690233108,high
99712b86:00000,Historical Slavery,0.4505289032650878,0.0522156072442535,high
f237cbbf:00000,Historical Slavery,0.5182869718442215,0.1204357097232805,high
f237cbbf:00001,Historical Slavery,0.4637120626508082,0.0967294494223036,high
93f42f0d:00000,Colonialism,0.3697282921110665,0.1250515664246078,high
ecf7c4e6:00000,Historical Slavery,0.4751140635023378,0.0640588367150156,high
00d6602a:00000,Historical Slavery,0.5149951509094358,0.0550716635449636,high
d227ca74:00001,Historical Slavery,0.3652284143631953,0.0695189861302085,high
7ed64fea:00000,Historical Slavery,0.4517208004030459,0.0679644492090877,high
0c31ccd3:00000,Historical Slavery,0.5124043273048544,0.1840031596647902,high
5688dd54:00000,Historical Slavery,0.4462342446385888,0.0893291196035578,high
94a2c9d5:00000,Historical Slavery,0.4837757537802232,0.0953864004870199,high
94a2c9d5:00001,Colonialism,0.494434243763331,0.1601969089272239,high
225a5c5e:00000,Colonialism,0.4553753727862253,0.0564601819964205,high
16ab4620:00000,Historical Slavery,0.5018738899942324,0.1197589718450057,high
9ac0932c:00001,Historical Slavery,0.4653045376390046,0.0833439977964135,high
