Topic,Q1 (25%),Median,Q3 (75%),IQR,Min,Max,Outliers
Colonialism,0.26259232619294004,0.3268429008058893,0.38529963369509,0.12270730750214998,-0.0141086305150337,0.6083362526434012,83
Historical Slavery,0.2720214377333503,0.3451534486186134,0.41035347605560285,0.13833203832225255,0.0,0.6158837934811486,62
Modern Racism & Inequality,0.253159219470748,0.316548717691498,0.3738947265208904,0.12073550705014241,-0.0250714196308608,0.6326256253192971,101
