chunk_id,primary_topic,primary_score,pca_x,pca_y,confidence_level
4f18bf34:00000,Colonialism,0.4764424151866492,1.2691257002507224,-0.495368468030088,high
e001db73:00001,Historical Slavery,0.3689921062195094,-1.0597013540955702,-0.6724016602632167,high
d68c406d:00000,Colonialism,0.380655880442913,0.13119888158811233,-0.29652585164200385,high
acd0142c:00001,Historical Slavery,0.3582943957412414,-0.4730735155743729,-0.5818160173359674,high
ef3b9806:00000,Historical Slavery,0.462516131028906,0.9124890586516895,-0.7350665272532458,high
0ac769e6:00000,Historical Slavery,0.5859125890281653,2.4118401160690497,-0.6669690227541801,high
0ac769e6:00001,Historical Slavery,0.4037284903015966,0.5888209390157689,0.20111021771969456,high
faf44a8a:00000,Historical Slavery,0.5491901467241115,2.39261046359385,-0.5455271653470491,high
5a86ac64:00001,Historical Slavery,0.4345535938371729,0.31450966323240404,-0.8324457659171638,high
32ff4658:00000,Historical Slavery,0.5688307950993974,2.2383744244364814,-0.48565638759110047,high
32ff4658:00001,Historical Slavery,0.4234766273136487,0.666982690563301,-0.6229106378875923,high
2f102c73:00000,Historical Slavery,0.4873982520050591,1.665245565124101,-0.658130268054344,high
ba5fec28:00000,Historical Slavery,0.5330707891495409,2.0983807030242563,-0.25254005586580036,high
ba5fec28:00001,Colonialism,0.3579261654692842,-0.5722324385535801,-0.3860150312048449,high
3b288b07:00000,Colonialism,0.4399188614213993,1.0892686245262584,0.02828303196699252,high
3b288b07:00001,Modern Racism & Inequality,0.4827781580694436,1.3670033370139,1.1237492125588415,high
2d50c9e8:00000,Historical Slavery,0.4711692682379998,1.5393383253598851,0.1956380505364435,high
a1a7c598:00000,Historical Slavery,0.4644257288027781,1.282574140809507,0.3153861767003808,high
a1a7c598:00001,Historical Slavery,0.6028114063158407,2.0931157710065666,-0.4197203824651397,high
0da66531:00000,Historical Slavery,0.549241246944696,2.2414359924596883,0.16592829752517524,high
0da66531:00001,Historical Slavery,0.4802090517627261,1.205959467435357,0.18130469237362754,high
bf48bcc5:00000,Historical Slavery,0.4597507522761768,1.3678641841121124,-0.001860756456882287,high
bf48bcc5:00001,Historical Slavery,0.4487590171425806,0.22740912059301546,-0.40873375749733987,high
7ddc7d31:00000,Historical Slavery,0.4430166616964144,0.5961308079157512,-0.4786546131514523,high
53e9f262:00000,Historical Slavery,0.4788984255504028,1.276122444590661,-0.09335556389348251,high
99712b86:00000,Historical Slavery,0.4505289032650878,1.5264317910113745,0.05628484668647614,high
f237cbbf:00000,Historical Slavery,0.5182869718442215,1.9655628608264175,0.0009164900998482106,high
f237cbbf:00001,Historical Slavery,0.4637120626508082,1.011068992552812,0.19369584487671898,high
93f42f0d:00000,Colonialism,0.3697282921110665,-0.7574560146742815,-0.9654499285951869,high
ecf7c4e6:00000,Historical Slavery,0.4751140635023378,1.6938669658939831,0.26744786318024444,high
00d6602a:00000,Historical Slavery,0.5149951509094358,2.1246781965631754,-0.6583619237334135,high
d227ca74:00001,Historical Slavery,0.3652284143631953,-0.16496914568792634,-0.33050054499833226,high
7ed64fea:00000,Historical Slavery,0.4517208004030459,1.218644573084397,-0.301165380393896,high
0c31ccd3:00000,Historical Slavery,0.5124043273048544,0.9759949806352242,-0.6981632105635208,high
5688dd54:00000,Historical Slavery,0.4462342446385888,1.0911888389204762,-0.04559408728553731,high
94a2c9d5:00000,Historical Slavery,0.4837757537802232,1.594936534220782,-0.10679122790405572,high
94a2c9d5:00001,Colonialism,0.494434243763331,0.9624065825677259,-0.9266715033139893,high
225a5c5e:00000,Colonialism,0.4553753727862253,1.4431365752751661,-0.2957023353112942,high
16ab4620:00000,Historical Slavery,0.5018738899942324,1.6535722750733797,-0.0004930328835638714,high
9ac0932c:00001,Historical Slavery,0.4653045376390046,1.212053271930667,-0.46671789947140985,high
b94ad4f0:00000,Historical Slavery,0.4668766113458921,1.2535473035191893,-0.6363724551704224,high
72169f8e:00000,Historical Slavery,0.4341563961696634,0.42408491059251746,-0.9798909590902988,high
72169f8e:00001,Historical Slavery,0.4467905883124195,0.6559767206072022,-0.7413124590315083,high
a781b34f:00000,Historical Slavery,0.4275644692565671,0.6316335308586873,-0.34504374317248593,high
a781b34f:00001,Historical Slavery,0.3856922568164633,0.09033959465589832,-0.5382543627748916,high
96568a08:00000,Historical Slavery,0.5457488276985167,2.658470199152739,0.11727252972538954,high
383f13f1:00000,Historical Slavery,0.3904425969629423,0.27882346425970556,-0.4123997827365987,high
6e9e834a:00000,Historical Slavery,0.4985330335106724,1.5014942338251742,0.09826835261574064,high
05841864:00000,Historical Slavery,0.4562160108148316,0.21982912130105967,-1.3277059086753695,high
05841864:00001,Historical Slavery,0.436101773472175,-0.08289094990179464,-0.21049843482135475,high
7fef3ff1:00000,Historical Slavery,0.4862434211727696,0.8600066097594852,-0.4000476714971584,high
7fef3ff1:00001,Historical Slavery,0.4421489328587017,0.4125893731519231,-0.5199997500924906,high
e7f6805a:00000,Historical Slavery,0.4608195248389594,0.5150912984729082,-0.9538738622062948,high
48d6a6e4:00000,Historical Slavery,0.4573027234617065,1.0098445384708843,-0.4020090891321219,high
f530037c:00000,Historical Slavery,0.4282241199027331,0.4201005438711656,-1.0871760369855412,high
f530037c:00001,Historical Slavery,0.5127002726556449,1.3820933057386025,-1.0162225032209973,high
fb058e2e:00001,Historical Slavery,0.4922707043536056,1.2595541936919445,-0.8642990188375609,high
7d5d26d9:00000,Historical Slavery,0.4915793811871704,1.7150609775205414,0.061025287329450215,high
767ae8d8:00000,Historical Slavery,0.4327489981659843,0.7453044440226014,-0.6482370327758586,high
b7de1f49:00000,Historical Slavery,0.5005745489822122,1.550884734112919,-0.6093488491082328,high
8c5efa4a:00000,Historical Slavery,0.5610346186796271,1.8713118469628311,0.014805948174853947,high
d5c37876:00000,Historical Slavery,0.6158837934811486,2.4621923282235367,-0.4512936269947745,high
d5c37876:00001,Historical Slavery,0.373097471386568,-1.6734178365974781,-1.5325454737844633,high
79f46b32:00000,Historical Slavery,0.491527494394713,1.5569104577427164,-0.7388595888141408,high
88ed6a2e:00000,Historical Slavery,0.5421157298462055,1.8835842784208483,-0.7982905725315582,high
88ed6a2e:00001,Historical Slavery,0.4769207725527992,1.3435647182329056,-0.7448506420649376,high
9da019c1:00000,Historical Slavery,0.5195175927460685,1.8725690452860875,-0.8727137475192391,high
b43f74fc:00000,Colonialism,0.4267931590299282,0.23287293302902393,-0.11931751268921204,high
d5739174:00000,Colonialism,0.5056229228988386,1.418057577903006,-0.784565009568785,high
dc7e77ec:00000,Historical Slavery,0.4301564345263821,0.8204839908692662,-0.5616042129374905,high
dc7e77ec:00001,Colonialism,0.4648449454434825,1.016985484678161,-1.0049300312335447,high
98768f31:00000,Historical Slavery,0.5312237857164086,1.653632286505041,-0.2877653921402943,high
