chunk_uid,tokens
72ed8b88:00001,"['orale', 'geschiedenisonderzoek', 'neemt', 'gesprek', 'vorm', 'interview', 'waarbij', 'interviewers', 'vertellers', 'ruimte', 'geven', 'leven', 'herinneringen', 'ervaringen', 'praten', 'gaat', 'vooral', 'historische', 'thema', 'vaak', 'onderbelicht', 'gebleven', 'punt', 'waar', 'tegenwoordig', 'aandacht', 'besteed', 'orale', 'historici', 'rol', 'trauma', 'levensverhaal', 'vastleggen', 'onbekende', 'verwaar', 'loosde', 'herinneringen', 'bronnen', 'geschiedschrijving', 'bronnen']"
b86eda48:00000,"['gebruikt', 'weten', 'komen', 'waarom', 'mensen', 'verleden', 'spreken', 'inhoud', 'trachten', 'geven', 'plaats', 'heden', 'aandacht', 'bronnen', 'manifesteert', 'actief', 'creëren', 'verzamelingen', 'orale', 'bronnen', 'slaan', 'databanken', 'archiefinstellingen', 'nederland', 'bijvoorbeeld', 'verschillende', 'archieven', 'waarin', 'herinneringen', 'personen', 'koloniale', 'verleden', 'vastgelegd', 'geluids', 'beeldmateriaal', 'zie', 'oral', 'history', 'data', 'archiving', 'networked', 'services', 'bekend', 'voorbeeld', 'archief', 'stichting', 'mondelinge', 'geschiedenis', 'indonesië', 'samenvattingen', 'interview', 'sessies', 'mensen', 'bevat', 'informatie', 'geven', 'periode', 'nederland', 'se', 'koloniale', 'aanwezigheid', 'azië', 'curaçao', 'volkenkundigen', 'paul', 'brenneker', 'elis', 'juliana', 'vanaf', 'grote', 'hoeveelheid', 'mondelinge', 'infor', 'matie', 'verzameld', 'meeste', 'hen', 'verzamelde', 'informatie', 'opgesla', 'gen', 'zikinzá', 'collectie', 'databank', 'bestaande', 'liederen', 'verhalen', 'levensverhalen', 'sint', 'eustatius', 'historical', 'foun', 'dation', 'stemmen', 'afstammelingen', 'slaafgemaakten', 'bewaard', 'gebleven', 'nadat', 'zeventig', 'verzameld', 'amerikaanse', 'journalist', 'vivian', 'graham', 'journalist', 'auteur', 'boi', 'antoin', 'afgelopen', 'bonaire', 'uitgebreide', 'collectie', 'videobanden', 'audiotapes', 'verzameld', 'gedigitaliseerd', 'ontsloten', 'archief', 'archivo', 'boneiru', 'instituut', 'beeld', 'geluid', 'deel', 'collectie', 'catalogus', 'opgenomen', 'suriname', 'amazon', 'conservation', 'team', 'samen', 'werking', 'lokale', 'bevolkingen', 'middel', 'orale', 'geschiedenis', 'interactieve', 'kaarten', 'oude', 'foto', 'archiefstukken', 'historie', 'marron', 'gemeenschap', 'matawai', 'vastgelegd']"
b86eda48:00001,"['opslaan', 'digitaal', 'ontsluiten', 'oraal', 'materiaal', 'stelt', 'bronnen', 'veilig', 'nader', 'onderzoek', 'herinterpretatie', 'analyse', 'bronnen', 'verifieerbaar', 'onderzoekers', 'onderwijs', 'gebruikt', 'ondanks', 'toenemende', 'belangstelling', 'orale', 'geschiedenis', 'neder', 'land', 'se', 'koloniale', 'geschiedenis', 'bloot', 'leggen', 'heel', 'materiaal', 'onderzoekers', 'bredere', 'publiek', 'toegankelijk', 'rose', 'mary', 'allen', 'cultureel', 'antropoloog', 'buitengewoon', 'hoogleraar', 'cultuur', 'gemeenschap', 'geschiedenis', 'universiteit', 'curaçao']"
a258f294:00000,"['actuele', 'vraagstukken', 'deel', 'slavernij', 'afschaffingen', 'doorwerkingen', 'patricia', 'kaersenhout', 'entangled', 'one', 'zeer', 'persoonlijke', 'serie', 'acht', 'werken', 'ontsnappen', 'onveilige', 'verwarrende', 'gevoelens', 'ontstaan', 'zwart', 'bent', 'overwegend', 'witte', 'samenleving', 'deed', 'twijfelen', 'eigen', 'identiteit', 'plaats', 'waar', 'thuishoorde', 'alleen', 'ontsnappen', 'anders', 'denkbeeldige', 'wereld', 'pas', 'losten', 'grenzen', 'toegestane', 'vrijheid', 'realiteit', 'mogelijkheden', 'via', 'taal', 'verbeelding', 'bevrijd', 'innerlijke', 'ziel', 'gevangen', 'zit', 'uiterlijke', 'lichaam', 'bepaald', 'ras', 'geslacht', 'hiërarchie', 'entangled', 'one', 'nr', 'werk', 'papier', 'cm']"
6021da72:00000,"['rose', 'mary', 'allen', 'esther', 'captain', 'matthias', 'rossum', 'urwin', 'vyent', 'koloniale', 'slavernijverleden', 'doorwerkingen', 'glimmend', 'trots', 'liet', 'premier', 'rutte', 'amerikaanse', 'president', 'barack', 'obama', 'bezoek', 'nederland', 'bracht', 'plakkaat', 'verlatinghe', 'zien', 'normaal', 'zorgvuldig', 'bewaard', 'nationaal', 'archief', 'den', 'haag', 'bijzondere', 'gelegenheid', 'lag', 'document', 'obama', 'klaar', 'kussentje', 'pronkzaal', 'rijksmuseum', 'hoewel', 'volgens', 'journalist', 'televisie', 'erg', 'aantrekkelijk', 'uitzag', 'onschatbare', 'waarde', 'nederland', 'plakkaat', 'verlatinghe', 'officiële', 'verklaring', 'aantal', 'nederlandse', 'provincies', 'waarin', 'spaanse', 'koning', 'filips', 'ii', 'afzetten', 'heerser', 'zodanig', 'beschouwd', 'nederlandse', 'onafhankelijkheidsverklaring', 'twee', 'eeuwen', 'later', 'gold', 'document', 'inspiratiebron', 'amerikaanse', 'onafhankelijkheids', 'verklaring', 'reden', 'waarom', 'bezoek', 'amerikaanse', 'wereldleider', 'prominent', 'getoond', 'waarschijnlijk', 'rutte', 'obama', 'ter', 'sprake', 'gekomen', 'plakkaat', 'verlatinghe', 'paradox', 'behelst', 'dag', 'daag', 'doorwerkt', 'republiek', 'verenigde', 'nederlanden', 'ontstond', 'gezegd', 'verzet', 'politieke', 'overheersing', 'vreemde', 'mogendheid', 'tijdgenoten', 'plakkaat', 'slavernij', 'vergeleken', 'onafhankelijkheidsverklaring', 'groeide', 'nederland', 'echter', 'grootste', 'koloniale', 'machten', 'land', 'zichzelf', 'vrijhaven', 'bleef', 'zien', 'tegelijkertijd', 'land', 'wereldwijd', 'slavernij', 'koloniale', 'machtsmiddelen', 'exploiteerde']"
5b4cb4d3:00000,"['ellen', 'klinkers', 'gespecialiseerd', 'koloniale', 'geschiedenis', 'nederland', 'promoveerde', 'proefschrift', 'afschaffing', 'slavernij', 'suriname', 'schreef', 'opdracht', 'koninklijk', 'instituut', 'taal', 'land', 'volkenkunde', 'kitlv', 'boek', 'koloniale', 'politie', 'suriname', 'opdracht', 'nederlands', 'instituut', 'militaire', 'geschiedenis', 'nimh', 'boek', 'troepenmacht', 'suriname']"
f5813988:00000,"['ellen', 'klinkers', 'kronkelige', 'pad', 'slavernij', 'vrije', 'arbeid', 'opheffing', 'slavenhandel', 'slavernij', 'baande', 'weg', 'vrije', 'arbeid', 'sloot', 'nieuwe', 'vormen', 'dwang', 'slavernij', 'dwang', 'arbeid', 'contractarbeid', 'bestonden', 'nederlandse', 'koloniën', 'soms', 'elkaar', 'volgden', 'elkaar', 'bestuderen', 'slavernij', 'samen', 'hang', 'dwang', 'contractarbeid', 'koloniale', 'context', 'legiti', 'meerde', 'bijdragen', 'beter', 'begrip', 'transitie', 'slavernij', 'vrije', 'arbeid', 'verschillen', 'voormalige', 'nederlandse', 'koloniën', 'suriname', 'nederlandse', 'caribische', 'eilanden', 'nederlands', 'indië', 'enorm', 'betreft', 'omvang', 'ligging', 'bevolking', 'economie', 'samenleving', 'effect', 'afschaffing', 'slavernij', 'ontstaan', 'voortbestaan', 'dwang', 'contractarbeid', 'nederlandse', 'koloniën', 'daarom', 'alleen', 'hoofd', 'lijnen', 'besproken', 'grote', 'gemene', 'deler', 'economieën', 'daarmee', 'inzet', 'arbeid', 'grotendeels', 'dienst', 'stonden', 'koloniale', 'machthebbers', 'arbeid', 'legitimeerden', 'controleerden', 'verbod', 'trans', 'atlantische', 'slavenhandel', 'voer', 'francis', 'meynell', 'britse', 'luitenant', 'royal', 'navy', 'marineschip', 'hms', 'albatross', 'kust', 'west', 'afrika', 'weg', 'slavenhandel', 'bestrijden', 'maart', 'overmees', 'terde', 'bemanning', 'albatross', 'spaanse', 'schip', 'albanez', 'zevenhonderd', 'slaafgemaakten', 'boord']"
f5813988:00001,"['luitenant', 'meynell', 'maakte', 'aquarel', 'ruim', 'schip', 'mensen', 'zaten', 'opgesloten', 'albanez', 'freetown', 'sierra', 'leone', 'geleid', 'liefst', 'slaafgemaakten', 'omgekomen', 'reis', 'levenden', 'herkregen', 'vrijheid', 'slavenhandelaren', 'werden', 'berecht', 'aquarel', 'toont', 'slavenhandel', 'eveneens', 'plaatsvond', 'nederlandse', 'koloniën', 'atlantisch', 'gebied', 'nadat', 'verbod', 'erop', 'engelsen', 'afgekondigd', 'overigens']"
44f6419a:00000,"['staat', 'slavernij', 'eersten', 'daarmee', 'kwamen', 'denen', 'hen', 'voorgegaan', 'engelsen', 'konden', 'maatregel', 'nederlandse', 'koloniën', 'afdwingen', 'handen', 'hadden', 'napoleontische', 'bezetting', 'nederland', 'teruggave', 'koloniën', 'nederland', 'bleef', 'verbod', 'kracht', 'slavernij', 'toegestaan', 'bleef', 'vraag', 'slaafge', 'maakte', 'afrikanen', 'bestaan', 'bijvoorbeeld', 'plantages', 'suriname', 'caribische', 'eilanden', 'cuba', 'puerto', 'rico', 'santo', 'domingo', 'martinique', 'guadeloupe', 'deense', 'eiland', 'sint', 'thomas', 'centrum', 'werkten', 'nederlandse', 'eilanden', 'sint', 'eustatius', 'saba', 'sint', 'maarten', 'actief', 'mee', 'handel', 'archeoloog', 'historicus', 'ryan', 'espersen', 'toonde', 'gebeurde', 'verschaffen', 'benodigde', 'papie', 'ren', 'waarmee', 'illegale', 'handel', 'slaafgemaakten', 'feite', 'gelegiti', 'meerd', 'suriname', 'waar', 'jaarlijks', 'rond', 'duizend', 'slaafgemaakten', 'land', 'werden', 'binnengesmokkeld', 'straffen', 'handelaren', 'francis', 'meynell', 'schilderde', 'slavernij', 'bevrijde', 'mensen', 'schip', 'albanez', 'nadat', 'beslag', 'genomen', 'mensen', 'land', 'gebracht']"
c3e0096d:00000,"['slavernij', 'afschaffingen', 'doorwerkingen', 'enerzijds', 'verplichte', 'registratie', 'slaafgemaakten', 'vanaf', 'anderzijds', 'effectieve', 'maatregelen', 'praktijk', 'bestrijden', 'surinaamse', 'plantage', 'economie', 'waar', 'slaafgemaakten', 'negentig', 'procent', 'bevolking', 'uitmaakten', 'tonen', 'demografische', 'cijfers', 'alleen', 'gevolg', 'slavernij', 'levens', 'mensen', 'falen', 'systeem', 'stoppen', 'handel', 'nooit', 'aantal', 'geboortes', 'sterfte', 'overstijgen', 'vooral', 'leven', 'suikerplantages', 'eiste', 'tol', 'invoer', 'nieuwe', 'slaafgemaakten', 'stopte', 'voelden', 'planters', 'direct', 'gevolgen', 'slavernij', 'eilanden', 'daarentegen', 'gekenmerkt', 'sterfteoverschot', 'gezonder', 'klimaat', 'ontbreken', 'groot', 'schalige', 'plantage', 'economie', 'suriname', 'zouden', 'redenen', 'daarvoor', 'daarom', 'lange', 'tijd', 'aangenomen', 'slavernij', 'eilanden', 'zwaar', 'recent', 'archeologisch', 'bot', 'onderzoek', 'onderzoek', 'gebruik', 'orale', 'tradities', 'caribische', 'eilanden', 'archeoloog', 'felicia', 'fricke', 'beeld', 'kantelen', 'beide', 'tonen', 'nieuwe', 'perspectieven', 'levensomstandigheden', 'slaaf', 'gemaakten', 'dieet', 'fysieke', 'gesteldheid', 'eventuele', 'letsels', 'gevolg', 'straffen', 'daarmee', 'verzet', 'religie', 'verschillen', 'eilanden', 'zichtbaar', 'mogelijk', 'biedt', 'onderzoek', 'toekomst', 'informatie', 'levensomstandigheden', 'laatste', 'fase', 'slavernij', 'afschaffing', 'handel', 'afschaffing', 'illegale', 'slavenhandel', 'vormde', 'aanzet', 'vormingen', 'koloniale', 'bestuur']"
