chunk_uid,tokens
3764be6a:00001,"['rechtvaardig', 'handelen', 'staat', 'geval', 'juist', 'eerlijk', 'handelen', 'afhankelijk', 'situatie', 'vraagt', 'handelen', 'rechtvaardigen', 'acceptabele', 'uitkomst', 'leiden', 'daarbij', 'ieder', 'mens', 'waarde', 'gelaten', 'respectvol', 'bejegend', 'verbijzondering', 'gewerkt', 'rijksoverheid', 'gaat', 'omgaan', 'informatie', 'parlementaire', 'democratie', 'behoort', 'parlement', 'staat', 'functioneren', 'overheid', 'controleren', 'burgers', 'recht', 'informatie', 'ambtenaren', 'echter', 'geheimhoudingsplicht', 'openheid', 'transparantie', 'bereidheid', 'verantwoording', 'gelden', 'norm', 'onbegrensd', 'ambtenaar', 'weten', 'ga', 'zorgvuldig', 'informatie', 'draag', 'open', 'overheid', 'weet', 'vertrouwelijke', 'informatie', 'geheim', 'houden', 'verwachten', 'ambtenaren', 'open', 'grondhouding', 'terwijl', 'vertrouwelijke', 'informatie', 'hen', 'veilig', 'blijven']"
3764be6a:00002,"['informatie', 'zorgvuldig', 'bewaard', 'zodat', 'reproduceren', 'zorgvuldigheid', 'omgang', 'informatie', 'staat', 'daarom', 'voorop', 'ambtenaren', 'worstelen', 'spanningsveld', 'openheid', 'vertrouwelijkheid', 'functioneren', 'gekozen', 'spanningsveld', 'tekst', 'benoemen', 'tegelijkertijd', 'uiting', 'geven', 'gewenste', 'grondhouding', 'geheimhoudingsplicht', 'blijft', 'onverkort', 'kracht', 'wettelijk', 'verankerd', 'letterlijk', 'herhaald', 'ambtseed', 'daadwerkelijk', 'houden', 'geheimhoudingsplicht', 'volgende', 'deel', 'ambtseed', 'ondervangen', 'waarin', 'ambtenaar', 'belooft', 'wet', 'gedragen', 'laatste', 'gaat', 'tekst', 'belangrijk', 'beginsel', 'onze', 'democratische', 'rechtsstaat', 'legaliteitsbeginsel', 'overheid', 'machtspositie', 'diep', 'ingrijpen', 'leven', 'mensen', 'daarom', 'waarborgen', 'verbonden']"
3764be6a:00003,"['macht', 'overheid', 'uitoefent', 'vindt', 'basis', 'wet', 'iedereen', 'overheid', 'houden', 'wet', 'recht', 'ambtenaren', 'moeten', 'bewust', 'daarnaar', 'handelen', 'daarom', 'belooft', 'ambtenaar', 'onze', 'wetten', 'recht', 'interne', 'gedragsregels', 'acht', 'nemen', 'gedraag', 'volgens', 'onze', 'wetten', 'recht', 'gedragsregels', 'verder', 'gelden', 'gaat', 'erom', 'ambtenaren', 'laten', 'wet', 'houden', 'hierin', 'voorbeeldfunctie', 'onze', 'samenleving', 'bijvoorbeeld', 'discrimineert', 'reden', 'gekozen', 'woorden', 'gedragen', 'volgens', 'waarmee', 'bedoeld', 'handelen', 'houden', 'ambtenaren', 'namelijk', 'taak', 'uitvoeren', 'handhaven', 'wetten', 'naleving', 'daarvan', 'spanningsvelden', 'ervaren', 'bijvoorbeeld', 'tegenstrijdige', 'wetgeving', 'oog', 'menselijke', 'maat', 'houden', 'wet', 'eenvoudige', 'opgave', 'ambtelijk', 'vakmanschap', 'vereist', 'juiste']"
3764be6a:00004,"['juiste', 'per', 'definitie', 'gelijk', 'houden', 'wet', 'bedoeling', 'uitleg', 'wet', 'belang', 'daarom', 'tekst', 'toegevoegd', 'ambtenaren', 'handelen', 'recht', 'omvat', 'rechtspraak']"
82a353a1:00000,"['juiste', 'wijze', 'hanteren', 'algemene', 'beginselen', 'behoorlijk', 'bestuur', 'omvat', 'toepasselijke', 'nationale', 'internationale', 'recht', 'geldende', 'gedragsregels', 'verwezen', 'nadere', 'interne', 'uitwerkingen', 'goed', 'ambtenaarschap', 'gedragscodes', 'handreikingen', 'voorschriften', 'dergelijke', 'ambtenaar', 'verwacht', 'hiervan', 'kennis', 'nemen', 'zetten', 'leven', 'slot', 'ambtseed', 'ceremoniële', 'plichtpleging', 'ambtenaar', 'rust', 'plicht', 'verantwoordelijkheid', 'ambtseed', 'gedragen', 'werkgever', 'rust', 'plicht', 'verantwoordelijkheid', 'ambtenaar', 'hiertoe', 'staat', 'stellen', 'belang', 'afnemen', 'eed', 'belofte', 'gesprek', 'gaan', 'praktijk', 'betekent', 'liefst', 'hand', 'voorbeelden', 'eigen', 'werkveld', 'belang', 'nieuwe', 'ambtenaar', 'aanvang', 'werk', 'goed', 'informeren', 'meest', 'relevante', 'regelingen']"
daaaa9d7:00000,"['staatssecretaris', 'koninkrijksrelaties', 'dgkr', 'ter', 'besluitvorming', 'nota', 'actief', 'openbaar', 'onze', 'referentie', 'datum', 'maart', 'opgesteld', 'samengewerkt', 'szw', 'def', 'pagina', 'beantwoording', 'vragen', 'pvdd', 'fractie', 'eerste', 'kamer', 'presentatie', 'eilandsraadslid', 'sneek', 'aanleiding', 'december', 'vond', 'interexpo', 'congres1', 'plaats', 'nieuwspoort', 'den', 'haag', 'bijeenkomst', 'gesproken', 'dhr', 'koos', 'sneek', 'lid', 'eilandsraad', 'sint', 'eustatius', 'leden', 'partij', 'dieren', 'fractie', 'presentatie', 'getiteld', 'gelijkwaardigheid', 'nederland', 'orde', 'gesteld', 'vaste', 'commissie', 'koninkrijksrelaties', 'korel', 'eerste', 'kamer', 'teneinde', 'hierover', 'enkele', 'vragen', 'stellen', 'geadviseerd', 'besluit', 'geadviseerd', 'stemmen', 'beantwoording', 'kamervragen', 'kamerbrief', 'ondertekenen', 'verzending', 'eerste', 'kamer', 'kern', 'vragen', 'gaan', 'armoedebestrijding', 'mogelijke', 'gevolgen', 'verhogen', 'minimumloon', 'bedrijfsleven', 'sint', 'eustatius', 'beantwoording', 'vragen', 'afgestemd', 'ministerie', 'sociale', 'zaken', 'werkgelegenheid', 'vraag', 'gaat', 'reisbewegingen', 'caribisch', 'nederland']"
daaaa9d7:00001,"['beantwoording', 'vraag', 'afgestemd', 'koninklijke', 'marechaussee', 'ministerie', 'defensie', 'volgnummer', 'naam', 'informatie', 'brief', 'beantwoording', 'kamervragen', 'ter', 'ondertekening', 'kamervragen', 'ter', 'info', 'ek', 'presentatie', 'dhr', 'sneek', 'ter', 'info', 'ek', 'interexpo', 'caribbean', 'organiseert', 'congressen', 'handelsmissies', 'focus', 'bevordering', 'zakenverkeer', 'nederland', 'curaçao', 'aruba', 'bonaire', 'sint', 'maarten', 'saba', 'sint', 'eustatius', 'congres', 'december', '32e', 'congres', 'titel', 'gelijkwaardigheid', 'koninkrijk', 'nederland']"
05c47aa7:00000,"['ter', 'ondertekening', 'scm', 'aanbieding', 'beleidsreactie', 'beleidsdoorlichting', 'erfgoed', 'aanleiding', 'hierbij', 'ontvangt', 'beleidsreactie', 'beleidsdoorlichting', 'erfgoed', 'vanwege', 'inhoudelijke', 'samenhang', 'belang', 'beleidsreactie', 'tegelijk', 'verkenning', 'financiering', 'monumentenzorg', 'zowel', 'eerste', 'tweede', 'kamer', 'aanbiedt', 'brieven', 'moeten', 'uiterlijk', 'juni', 'verzonden', 'geagendeerd', 'commissiedebat', 'erfgoed', 'juni', 'geadviseerd', 'besluit', 'akkoord', 'verzending', 'bijgaande', 'brief', 'tegelijk', 'verkenning', 'financiering', 'monumentenzorg', 'eerste', 'tweede', 'kamer', 'kernpunten', 'beleidsreactie', 'reageert', 'beleidsdoorlichting', 'erfgoed', 'geïntegreerd', 'rapport', 'bestaande', 'beleidsdoorlichting', 'erfgoed', 'doorlichting', 'erfgoedwet', 'erfgoedbalans', 'ter', 'voorbereiding', 'beleidsreactie', 'diverse', 'veldpartijen', 'gesproken', 'zie', 'bijgevoegde', 'brieven', 'per', 'thema', 'geeft', 'rapport', 'hierover', 'zegt', 'aanleiding', 'rapport', 'gesprekken', 'veld', 'hierop', 'verder', 'gaat', 'kondigt', 'volgende', 'acties', 'erfgoedwet', 'kamer', 'overzicht', 'wenselijke', 'wijzigingen', 'bieden', 'doelmatigheid', 'doeltreffendheid', 'toekomstige', 'beleidsbrieven', 'beleidstheorie', 'waarom', 'denken', 'gaat', 'werken', 'uitgebreider', 'beschrijven']"
05c47aa7:00001,"['ten', 'aanzien', 'versterken', 'capaciteit', 'deskundigheid', 'terrein', 'erfgoed', 'gemeenten', 'kondigt', 'iedere', 'provincie', 'bijeenkomsten', 'komen', 'inventariseren', 'gemeenten', 'beste', 'geholpen', 'komt', 'commissie', 'richtinggevende', 'ambitiescenario', 'gaat', 'ontwikkelen', 'aanpak', 'erfgoed', 'breed', 'archeologie', 'gebouwd', 'groen', 'landschap', 'leefomgeving', 'aanpak', 'beleidsdoorlichting', 'gesprek', 'gaan', 'veld', 'komen', 'verbeterde', 'aanpak', 'volgende', 'beleidsdoorlichting', 'erfgoed', 'gebouwd', 'groen', 'erfgoed', 'samen', 'partners', 'verkennen', 'meest', 'bijzondere', 'kerkelijke', 'kerkelijke', 'interieurs', 'behouden', 'samen', 'ministeries', 'ezk', 'bzk', 'bezien', 'wijze', 'investeringssubsidie', 'duurzame', 'energie', 'pagina', 'erfgoed', 'kunsten', 'datum', 'mei', 'referentie', 'beleidsreactie', 'beleidsdoorlichting', 'erfgoed', 'intern', 'ocw', 'afgestemd', 'menc', 'rce', 'fez', 'wjz', 'ioe', 'interdepartmentaal', 'afgestemd', 'bzk', 'ezk', 'fin', 'persoonsgegeven', 'persoonsgegeven', 'persoo']"
29dc54e5:00000,"['energiebesparing', 'isde', 'subsidieregeling', 'verduurzaming', 'verenigingen', 'eigenaars', 'svve', 'aangepast', 'toegankelijker', 'huiseigenaren', 'monumenten', 'verduurzamen', 'erfgoed', 'leefomgeving', 'bestuurlijke', 'afspraken', 'wederopbouwgebieden', 'evalueren', 'relatie', 'bescherming', 'beschermde', 'stads', 'dorpsgezichten', 'waardevolle', 'post65', 'gebieden', 'komende', 'alleen', 'zetten', 'werelderfgoednominaties', 'caribisch', 'deel', 'koninkrijk', 'plantages', 'west', 'curaçao', 'marine', 'park', 'bonaire', 'curaçao', 'netherlands', 'fund', 'trust', 'werelderfgoedcentrum', 'unesco', 'parijs', 'voort', 'zetten', 'periode', 'archeologie', 'gesprek', 'bedrijven', 'overheden', 'gaan', 'situ', 'behoud', 'onderzoeken', 'aanvullende', 'regelgeving', 'noodzakelijk', 'rce', 'vragen', 'verkennen', 'wijze', 'gelijkvormige', 'eisen', 'deponering', 'bevorderd', 'inspectie', 'vragen', 'nader', 'onderzoek', 'metaaldetectie', 'roerend', 'erfgoed', 'samenspraak', 'sector', 'nieuwe', 'beleidslijn', 'gebied', 'mobiel', 'erfgoed', 'stellen', 'waarin', 'duurzaamheidsopgave', 'vraag', 'hoeverre', 'passender', 'beschermingsbeleid', 'komen', 'betrokken', 'toelichting', 'verder', 'willen', 'volgende', 'wijzen', 'besluitenlijst', 'procedurevergadering', 'vaste', 'commissie', 'onderwijs', 'cultuur', 'wetenschap', 'donderdag', 'januari', 'bleek', 'kamercommissie', 'nadere', 'informatie', 'wilde', 'afwachten', 'alvorens', 'beleidsreactie', 'advies', 'commissie', 'collectie', 'nederland', 'wilde', 'agenderen']"
