prob__Reparations and Remembrance,prob__Modern & Everyday Racism,"prob__Colonial Exploitation, Slavery & Economic Inequality",prob__Uncategorised
0.00036765228,0.0002708665,0.000796377,0.99971014
0.00045090923,0.00038046952,0.00029981264,0.9996625
0.00045822095,0.00037530583,0.00029031,0.99966204
0.00049289834,0.00036600395,0.00029848472,0.99966896
0.001507343,0.00024570987,0.00036601475,0.99969816
0.010010017,0.0003110322,0.000306822,0.9996455
0.99916995,0.0015286586,0.0016863099,0.9760917
0.16880709,0.00037020288,0.00037354714,0.99948514
0.0010184122,0.0003077413,0.00028378406,0.9996867
0.9999013,0.012297363,0.021136386,0.008900642
0.9999286,0.06969324,0.0017872492,0.116268106
0.9998621,0.016452126,0.009563464,0.008902594
0.030656682,0.00030560084,0.00020887532,0.99950516
0.0056477026,0.0027413575,0.00014049391,0.99960893
0.00041346386,0.0007706618,0.0002611943,0.9996747
0.0004048862,0.0007671875,0.00027241526,0.99966943
0.0004427894,0.00033476524,0.0003103474,0.9996314
0.48921677,0.9999677,0.5697132,0.0010115602
0.0029568088,0.9999101,0.0038759026,0.96171916
0.00028633056,0.007877959,0.00030919854,0.9996099
0.0002975525,0.008086135,0.00037742575,0.99961853
0.00065429177,0.0009535595,0.00037431464,0.99973696
0.0003217011,0.00031067213,0.0012771075,0.99975973
0.0004725255,0.00034829,0.000494718,0.99974734
0.00032325432,0.00044068776,0.0005546668,0.99973816
0.00047979664,0.00033143815,0.0003408814,0.9996798
0.00038666138,0.00033993897,0.00037808603,0.9996673
0.00044724974,0.00030552424,0.00035513667,0.99965215
0.00036653015,0.0003983676,0.0004191905,0.99970585
0.00045078673,0.00043071245,0.0002742512,0.9996512
0.0003261014,0.00070929417,0.0002597965,0.9996475
0.00025789108,0.0015620415,0.0002704655,0.99961865
0.005967868,0.99982685,0.005926809,0.0016326094
0.0061517125,0.9998437,0.007957104,0.0014997734
0.00541111,0.99989283,0.0044360473,0.0032134557
0.0013162688,0.00038808276,0.0002273436,0.99969685
0.0005990852,0.00041568396,0.00027878906,0.999703
0.015834292,0.0009697732,0.00016148388,0.999658
0.0015928085,0.000380024,0.00024320131,0.9997012
0.99984133,0.0056875246,0.0018846617,0.086137116
0.9998043,0.012042972,0.00212333,0.026795765
0.99944144,0.0065057054,0.0004748364,0.90785044
0.0008983472,0.00034465367,0.00028215133,0.99969244
0.00077871536,0.00031527155,0.00029485562,0.99967885
0.9996525,0.006689137,0.004160199,0.013009275
0.99965966,0.0070687234,0.0065334593,0.008919511
0.9998883,0.0029932514,0.872347,0.0064265467
0.0025062715,0.0006226339,0.9998864,0.9141532
0.0019638257,0.0007787699,0.99978644,0.9872645
0.00041417254,0.00034135717,0.00037531153,0.99968386
0.00034103775,0.00037537343,0.0003927821,0.9996785
0.0004163176,0.00027560134,0.00042438225,0.99967146
0.0004396719,0.0003127452,0.00037773477,0.9996804
0.0006640156,0.00024559017,0.00042788772,0.9997069
0.93230695,0.99758065,0.035211988,0.2553622
0.99981683,0.010785229,0.99931824,0.017697902
0.9999145,0.0047352565,0.06796791,0.71428007
0.3011455,0.0024261212,0.00015200042,0.99940324
0.000366272,0.00036262983,0.00034998287,0.9996482
0.9999043,0.0037479997,0.027940214,0.019380642
0.9999201,0.9989955,0.035855483,0.004929944
0.999721,0.9996598,0.013258383,0.00432515
0.07364668,0.9998338,0.0020321733,0.001329748
0.999835,0.004318598,0.0012304755,0.48461175
0.9998191,0.0023571544,0.0019692576,0.74906045
0.99980205,0.002367448,0.0017509217,0.810478
0.9998599,0.002132503,0.0030500658,0.41271284
0.00048331,0.00028487327,0.00035109537,0.9996469
0.9998623,0.0047709006,0.0015049307,0.45003343
0.9998456,0.0029633217,0.0020100973,0.6283256
0.010132296,0.00038553693,0.00023035008,0.9996538
0.002875101,0.00032464438,0.00023949794,0.9996871
0.9998454,0.016707657,0.0014885389,0.047680132
0.9997292,0.0038210733,0.0049833716,0.020227041
0.99974614,0.0039235055,0.004992776,0.020534089
0.00046468808,0.00034218022,0.00032467567,0.99966455
0.9997311,0.0034384385,0.006886519,0.017920801
0.99983585,0.003606424,0.006693479,0.028844928
0.9997967,0.0039007175,0.0071225245,0.019272828
0.9997116,0.004716417,0.00766396,0.012304258
0.99975556,0.0053871344,0.007164688,0.013715834
0.9998337,0.005149104,0.0065509076,0.023089243
0.9998623,0.0038392069,0.004875029,0.050627977
0.99981564,0.006269626,0.0041095214,0.022539351
0.9998117,0.012128292,0.005011977,0.012061414
0.9998547,0.0117311105,0.0041777347,0.01883448
0.99986887,0.0032983127,0.0023838878,0.27690163
0.99971586,0.006200578,0.0059990054,0.013753499
0.99965274,0.004857595,0.004425619,0.02000525
0.99972993,0.0048109395,0.0050723017,0.021720348
0.9998148,0.0075400975,0.006240993,0.014526293
0.99979717,0.005726998,0.009851308,0.011080141
0.99991107,0.0055942633,0.0075907,0.040470853
0.9998665,0.0030839809,0.0018300671,0.62729114
0.0020056074,0.0002766449,0.00026025617,0.999686
0.0034020934,0.00032297705,0.00026332066,0.99970007
0.00074615906,0.00037182914,0.0002914709,0.999713
0.9998754,0.0023115594,0.00264568,0.43248728
0.9997836,0.006944338,0.0042493665,0.017848754
0.9997516,0.006860525,0.005398936,0.013420557
0.9997445,0.005227733,0.0041581625,0.021142494
0.99985445,0.0061725243,0.0038991468,0.034171473
0.99988437,0.0039297943,0.00308941,0.1355114
0.000500909,0.0004915417,0.00026697962,0.99967873
0.00044848764,0.00037303078,0.0003036136,0.99965405
0.0006611871,0.00028571018,0.00032675214,0.99966085
0.0004845139,0.00036743295,0.00038940206,0.9997104
0.00041726325,0.00034742776,0.00033467464,0.9996636
0.0003954568,0.00048067237,0.00031465298,0.99968505
0.0004176867,0.00044395885,0.00031983232,0.9996879
0.00038525622,0.00051273615,0.00030303348,0.9996879
0.0035285752,0.00027198758,0.00023964574,0.99965715
0.0009138545,0.0003310608,0.00025110395,0.9996643
0.00045936214,0.00030979427,0.00033683397,0.99965525
0.0005706517,0.00033553594,0.00030118608,0.99967945
0.0007703137,0.00034813365,0.00027744577,0.9996848
0.00042258564,0.00035713232,0.00046388572,0.99973625
0.00033788182,0.00033033564,0.0006602879,0.99973375
0.0003636372,0.00034941043,0.00054599124,0.99972945
0.16582598,0.0003399892,0.00041060618,0.9993449
0.99982125,0.0019333776,0.0023217846,0.86118567
0.9998209,0.0023633512,0.0019111054,0.85244054
0.00053501304,0.0003071674,0.00035805104,0.99967086
0.0008880909,0.0002976626,0.00032067776,0.99970585
0.0008622675,0.0003143981,0.00034546654,0.99972755
0.0012767062,0.00028812367,0.00025571688,0.9996766
0.003056856,0.0035814731,0.9988427,0.002762678
0.0025533438,0.0034032997,0.9990941,0.0034100409
0.0009013398,0.0044275853,0.99989915,0.7935219
0.0013050814,0.0032800634,0.9997296,0.99158406
0.0015470934,0.0024082416,0.99909353,0.006104033
0.0019887725,0.0027895893,0.99903643,0.0044083362
0.0017913654,0.0019646024,0.9991549,0.006649501
0.00079645973,0.00073511596,0.99982965,0.616366
0.00038535305,0.00051990116,0.0053982656,0.99981385
0.00033442109,0.00034182126,0.00046521216,0.99969316
0.0003224605,0.00040688328,0.0004676462,0.9997137
0.0012683674,0.00097477913,0.99952435,0.9928324
0.00030022138,0.000311409,0.00065451104,0.99969864
0.00026044605,0.0002403198,0.0014061581,0.9997141
0.00038632113,0.00031443496,0.0003901843,0.99962926
0.00030459935,0.00026305942,0.003205936,0.9997874
0.0011222082,0.00062612555,0.9998491,0.8268006
0.0028285782,0.0023430255,0.99921,0.004236336
0.003531794,0.0031047002,0.99917275,0.0029979884
0.0020762645,0.002112988,0.999587,0.008852521
0.0016230877,0.001605048,0.99971145,0.020347053
0.0023376646,0.0011472873,0.99991703,0.93465656
0.003463198,0.0032446124,0.9990306,0.0028731604
0.0009994031,0.0023969656,0.99987185,0.9532301
0.002297774,0.0038483234,0.9991291,0.0034406763
0.0019360137,0.0026388012,0.99907684,0.0049994043
0.02490234,0.001873068,0.9994454,0.0023741245
0.64895767,0.00048589054,0.9998305,0.90781844
0.006522045,0.00038204054,0.000268283,0.99963856
0.003063283,0.0026897,0.9989416,0.0032792652
0.003098626,0.0033355912,0.9989881,0.0028687268
0.0037816686,0.003881983,0.9989249,0.002310149
0.0029866418,0.004552523,0.99923015,0.0027043237
0.0018338033,0.0043234113,0.9993724,0.00435088
0.0019150239,0.0018424252,0.9998093,0.98993814
0.0015663444,0.0016171287,0.99988556,0.9656793
0.0021477023,0.0012860671,0.9998275,0.98625124
0.0021279743,0.0014598332,0.9998715,0.120968625
0.0018760257,0.001528882,0.999905,0.9541226
0.00030314503,0.00049680204,0.060274627,0.9997336
0.0016382766,0.00046716057,0.9998598,0.700528
0.0023131599,0.0013911811,0.99969435,0.014098812
0.0024066966,0.0017922549,0.99948907,0.0070430594
0.0010392258,0.00078350934,0.99985313,0.8767164
0.0002504173,0.0003824233,0.0010516073,0.9997235
0.00035856478,0.00039730535,0.0003177598,0.99963534
0.0016865338,0.001163853,0.9997255,0.030663252
0.00040565617,0.00031678192,0.0011413086,0.9997594
0.00031361077,0.00037613197,0.00041689907,0.9996786
0.00037192166,0.00034583002,0.00035627146,0.9996542
0.0003701748,0.0003614496,0.00035518914,0.99965715
0.0018691826,0.0012867575,0.99810636,0.9986842
0.0010694655,0.0006551816,0.9922609,0.99918765
0.0017764018,0.00085391174,0.9989606,0.9980261
0.0013094348,0.002228604,0.9991359,0.008227374
0.001570662,0.002693545,0.99902284,0.0057351445
0.00022701002,0.00024977227,0.004816333,0.9997179
0.0024788857,0.0010268888,0.99983907,0.9864259
0.004077408,0.0011309766,0.9997832,0.9940767
0.0045819734,0.0011469442,0.9998449,0.9912754
0.003720351,0.0016185798,0.99985206,0.9907066
0.00034207568,0.00030654046,0.0014341623,0.9997677
0.0015543974,0.0015557109,0.9995542,0.015809575
0.0027742365,0.002058927,0.99911577,0.0045244377
0.003216735,0.0025911394,0.99923706,0.0037142655
0.0023367608,0.002005054,0.9994796,0.0067344364
0.0005218524,0.00019182268,0.0015673708,0.99974483
0.00038689314,0.00024486,0.0023848007,0.9997708
0.0021276057,0.0010158094,0.99978215,0.98985976
0.0022017509,0.00136746,0.99964917,0.995924
0.0012286444,0.0027225204,0.9995247,0.011171861
0.0014967816,0.0013617241,0.9999,0.9057521
0.002110491,0.0040429477,0.99928635,0.003949584
0.0027636006,0.0041020815,0.99916136,0.0030970562
0.0018620613,0.00373385,0.99941826,0.0052941
0.0008250224,0.0053223283,0.99946433,0.99366117
0.002874718,0.0024491118,0.999864,0.9890759
0.00023139323,0.0009504026,0.0022268868,0.9998005
0.00136794,0.00041644723,0.002195556,0.9998211
0.0016455944,0.000417463,0.000428097,0.9997502
0.002428056,0.0003848279,0.00038597916,0.9997335
0.0003551651,0.00037222158,0.00034838732,0.9996716
0.00039466046,0.00038330257,0.0003402848,0.9996847
0.00030703473,0.0003570186,0.0004692345,0.9996928
0.00031111375,0.0003350114,0.00051210116,0.999691
0.0001991068,0.0008456421,0.00074575,0.99973017
0.00021468151,0.0035649135,0.0006672585,0.99974793
0.00025672186,0.00047730232,0.0011736506,0.9997662
0.00264514,0.0032269964,0.99890983,0.0033207862
0.0018891142,0.0028799113,0.999108,0.0046929056
0.0014963404,0.0037654568,0.999421,0.0063340846
0.0008075125,0.0010891509,0.96995,0.99931085
0.0007943185,0.0010814983,0.8389553,0.9996625
0.00038404638,0.00039488458,0.00078139105,0.9997602
0.00030518157,0.0004707851,0.000358041,0.99966
0.0011773042,0.0014201298,0.9998467,0.11917123
0.00035820538,0.0004144737,0.00038991173,0.9997067
0.00038995332,0.00036799116,0.00037871208,0.9996995
0.00036504742,0.0003157387,0.00096469466,0.9997689
0.0017370137,0.0017732319,0.9988605,0.99691546
0.00078270264,0.0030751594,0.9967182,0.99814415
0.0015677947,0.0016364503,0.9983088,0.9974975
0.00052872376,0.00046031555,0.00045412497,0.9997613
0.0016347178,0.004661062,0.9991999,0.0042404053
0.0010262615,0.003703799,0.9996613,0.018111737
