filename,Historical_colonialism/Slavery,Historical_inequality/Racism,Historical_institutions,Legacyof_colonialism/Slavery,Legacyof_inequality/Racism
Staat_slavernij.txt,1993,19,0,87,23
ketenen.txt,518,15,0,53,76
