topic,term,weight,category,parent,cosine,df,is_seed
Contemporary_Manifestations,antilliaanse,0.95,strong_problem,afro-antillianen,0.7164,46,0
Contemporary_Manifestations,antillianen,0.95,strong_problem,afro-antillianen,0.7893,9,0
Contemporary_Manifestations,arbeidersprotest,0.95,strong_problem,arbeidsdiscriminatie,0.6974,2,0
Contemporary_Manifestations,arbeidsdiscriminatie,0.95,strong_problem,arbeidsdiscriminatie,1.0,2,1
Contemporary_Manifestations,arbeidsdwang,0.95,strong_problem,arbeidsdiscriminatie,0.6733,4,0
Contemporary_Manifestations,arbeidsgeschillenwet,0.95,strong_problem,arbeidsdiscriminatie,0.6878,2,0
Contemporary_Manifestations,arbeidsparticipatie,0.95,strong_problem,arbeidsdiscriminatie,0.685,4,0
Contemporary_Manifestations,arbeidsrecht,0.95,strong_problem,arbeidsdiscriminatie,0.7603,3,0
Contemporary_Manifestations,arbeidsregime,0.95,strong_problem,arbeidsdiscriminatie,0.6544,2,0
Contemporary_Manifestations,arbeidsuitbuiting,0.95,strong_problem,arbeidsdiscriminatie,0.6758,3,0
Contemporary_Manifestations,autoritair,0.95,strong_problem,institutioneel,0.6528,2,0
Contemporary_Manifestations,aziatisch,0.95,strong_problem,etnische,0.6736,4,0
Contemporary_Manifestations,aziatische,0.95,strong_problem,etnische,0.6662,59,0
Contemporary_Manifestations,belgische,0.95,strong_problem,afro-surinaamse,0.6599,5,0
Contemporary_Manifestations,beoordelen,0.95,strong_problem,vooroordeel,0.6984,12,0
Contemporary_Manifestations,blank,0.95,strong_problem,zwarten,0.675,7,0
Contemporary_Manifestations,blanke,0.95,strong_problem,zwarten,0.7276,21,0
Contemporary_Manifestations,blanken,0.95,strong_problem,zwarten,0.7143,20,0
Contemporary_Manifestations,blinde,0.95,strong_problem,zwarten,0.6563,16,0
Contemporary_Manifestations,bloedens,0.95,strong_problem,zwarten,0.6707,2,0
Contemporary_Manifestations,caribisch,0.95,strong_problem,afro-caribische,0.6697,340,0
Contemporary_Manifestations,caribische,0.95,strong_problem,afro-caribische,0.7259,174,0
Contemporary_Manifestations,constitutionele,0.95,strong_problem,institutioneel,0.8607,20,0
Contemporary_Manifestations,culturele,0.95,strong_problem,etnische,0.7002,148,0
Contemporary_Manifestations,discriminatiegronden,0.95,strong_problem,discriminatiegronden,1.0,4,1
Contemporary_Manifestations,discriminatietoets,0.95,strong_problem,discriminatietoets,1.0,33,1
Contemporary_Manifestations,donker,0.95,strong_problem,zwarten,0.6526,11,0
Contemporary_Manifestations,etniciteit,0.95,strong_problem,etnische,0.707,11,0
Contemporary_Manifestations,etnische,0.95,strong_problem,etnische,1.0,63,1
Contemporary_Manifestations,ex-surinamers,0.95,strong_problem,afro-surinamers,0.6877,2,0
Contemporary_Manifestations,formeel-systemisch,0.95,strong_problem,systemisch,0.8287,2,0
Contemporary_Manifestations,geoordeeld,0.95,strong_problem,vooroordeel,0.6508,5,0
Contemporary_Manifestations,gerechtelijk,0.95,strong_problem,institutioneel,0.6848,2,0
Contemporary_Manifestations,grijs,0.95,strong_problem,zwarten,0.6979,7,0
Contemporary_Manifestations,grijze,0.95,strong_problem,zwarten,0.6832,3,0
Contemporary_Manifestations,grondwettelijke,0.95,strong_problem,institutioneel,0.6537,5,0
Contemporary_Manifestations,instituties,0.95,strong_problem,institutioneel,0.7795,25,0
Contemporary_Manifestations,institutioneel,0.95,strong_problem,institutioneel,1.0,57,1
Contemporary_Manifestations,institutionele,0.95,strong_problem,institutioneel,0.9259,28,0
Contemporary_Manifestations,interculturele,0.95,strong_problem,etnische,0.688,3,0
Contemporary_Manifestations,landse,0.95,strong_problem,afro-surinaamse,0.6732,41,0
Contemporary_Manifestations,latijns-amerika,0.95,strong_problem,etnische,0.6761,10,0
Contemporary_Manifestations,latijns-amerikaanse,0.95,strong_problem,etnische,0.7024,2,0
Contemporary_Manifestations,nationaliteit,0.95,strong_problem,etnische,0.6982,18,0
Contemporary_Manifestations,nederlanden,0.95,strong_problem,afro-nederlanders,0.664,79,0
Contemporary_Manifestations,nederlanders,0.95,strong_problem,afro-nederlanders,0.6821,279,0
Contemporary_Manifestations,nederlands-caribische,0.95,strong_problem,afro-caribische,0.6527,8,0
Contemporary_Manifestations,nederlands-vlaamse,0.95,strong_problem,afro-surinaamse,0.684,2,0
Contemporary_Manifestations,niet-witte,0.95,strong_problem,anti-zwart,0.6757,4,0
Contemporary_Manifestations,niet-zwarte,0.95,strong_problem,anti-zwart,0.8267,2,0
Contemporary_Manifestations,nische,0.95,strong_problem,etnische,0.835,2,0
Contemporary_Manifestations,non-discriminatiegronden,0.95,strong_problem,discriminatiegronden,0.8612,3,0
Contemporary_Manifestations,noord-afrika,0.95,strong_problem,afro-surinaamse,0.6528,4,0
Contemporary_Manifestations,noord-afrikaanse,0.95,strong_problem,afro-surinaamse,0.6666,7,0
Contemporary_Manifestations,oordeel,0.95,strong_problem,vooroordeel,0.8147,56,0
Contemporary_Manifestations,oordeelden,0.95,strong_problem,vooroordeel,0.7082,2,0
Contemporary_Manifestations,oordelen,0.95,strong_problem,vooroordeel,0.765,12,0
Contemporary_Manifestations,oost-afrika,0.95,strong_problem,afro-surinaamse,0.6649,3,0
Contemporary_Manifestations,opvatting,0.95,strong_problem,vooroordeel,0.6771,26,0
Contemporary_Manifestations,paars,0.95,strong_problem,zwarten,0.6785,2,0
Contemporary_Manifestations,paarse,0.95,strong_problem,zwarten,0.7032,3,0
Contemporary_Manifestations,problematisch,0.95,strong_problem,systematisch,0.7054,14,0
