topic,term,cosine,df,weight,category,parent,is_seed
Contemporary_Manifestations,antiracisme-,0.8819,2,1.0,core,anti-zwartracisme,0
Contemporary_Manifestations,stereotypering,0.881,7,0.9,strongly_related,stereotyperingen,0
Contemporary_Manifestations,discriminatoire,0.8767,4,1.0,core,discriminatie,0
Contemporary_Manifestations,gediscrimineerde,0.875,2,1.0,core,discriminatie,0
Contemporary_Manifestations,antidiscriminatie-,0.8744,2,0.4,context,discriminatie-,0
Contemporary_Manifestations,discriminerende,0.87,10,1.0,core,discriminatie,0
Contemporary_Manifestations,non-discriminatiegronden,0.8612,3,0.9,strongly_related,discriminatiegronden,0
Contemporary_Manifestations,constitutionele,0.8607,20,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,gediscrimineerd,0.8524,20,1.0,core,discriminatie,0
Contemporary_Manifestations,systematiek,0.8467,10,0.9,strongly_related,systemische,0
Contemporary_Manifestations,aansluit,0.8425,14,1.0,core,uitsluiting,0
Contemporary_Manifestations,non-discriminatie,0.8404,8,1.0,core,discriminatie,0
Contemporary_Manifestations,opsluiting,0.8403,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,sluiting,0.8396,5,1.0,core,uitsluiting,0
Contemporary_Manifestations,nische,0.835,2,0.9,strongly_related,etnische,0
Contemporary_Manifestations,afsluiting,0.8345,5,1.0,core,uitsluiting,0
Contemporary_Manifestations,vooroordelen,0.8325,26,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,discriminatieverboden,0.8313,2,0.4,context,discriminatie-,0
Contemporary_Manifestations,formeel-systemisch,0.8287,2,0.9,strongly_related,systemisch,0
Contemporary_Manifestations,niet-zwarte,0.8267,2,0.9,strongly_related,anti-zwart,0
Contemporary_Manifestations,afsluit,0.8259,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,oordeel,0.8147,56,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,insluiting,0.8129,6,1.0,core,uitsluiting,0
Contemporary_Manifestations,racism,0.8113,5,1.0,core,racisme,0
Contemporary_Manifestations,afsluiten,0.799,9,1.0,core,uitsluiting,0
Contemporary_Manifestations,uitsluitsel,0.7966,3,1.0,core,uitsluiting,0
Contemporary_Manifestations,systems,0.796,2,0.9,strongly_related,systemische,0
Contemporary_Manifestations,aansluiten,0.7948,20,1.0,core,uitsluiting,0
Contemporary_Manifestations,racist,0.7901,2,1.0,core,racistische,0
Contemporary_Manifestations,antillianen,0.7893,9,0.9,strongly_related,afro-antillianen,0
Contemporary_Manifestations,surinaamse,0.781,128,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,instituties,0.7795,25,0.9,strongly_related,institutioneel,0
Contemporary_Manifestations,sluiten,0.7713,51,1.0,core,uitsluiting,0
Contemporary_Manifestations,antidiscriminatievoorzieningen,0.7665,5,0.4,context,discriminatie-,0
Contemporary_Manifestations,uitsluiten,0.7657,6,1.0,core,uitsluiting,0
Contemporary_Manifestations,oordelen,0.765,12,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,non-discriminatiebepalingen,0.7613,2,0.4,context,discriminatie-,0
Contemporary_Manifestations,zwarte,0.7612,275,0.9,strongly_related,anti-zwart,0
Contemporary_Manifestations,arbeidsrecht,0.7603,3,0.9,strongly_related,arbeidsdiscriminatie,0
Contemporary_Manifestations,stereotiep,0.7583,2,0.9,strongly_related,stereotyperende,0
Contemporary_Manifestations,vlaamse,0.7539,8,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,sluitend,0.7524,5,1.0,core,uitsluiting,0
Contemporary_Manifestations,uitreding,0.7513,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,antidiscriminatiebeleid,0.7385,2,0.4,context,discriminatie-,0
Contemporary_Manifestations,system--the,0.7346,2,0.9,strongly_related,systemische,0
Contemporary_Manifestations,zwart,0.73,82,0.9,strongly_related,anti-zwart,0
Contemporary_Manifestations,blanke,0.7276,21,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,caribische,0.7259,174,0.9,strongly_related,afro-caribische,0
Contemporary_Manifestations,antilliaan,0.7242,2,0.9,strongly_related,afro-antillianen,0
Contemporary_Manifestations,sluit,0.721,24,1.0,core,uitsluiting,0
Contemporary_Manifestations,veroordelen,0.7205,7,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,afro-amerikaanse,0.7199,6,0.9,strongly_related,afro-caribische,0
Contemporary_Manifestations,amerikaansche,0.7171,3,0.9,strongly_related,afro-surinaamse,0
Contemporary_Manifestations,antilliaanse,0.7164,46,0.9,strongly_related,afro-antillianen,0
Contemporary_Manifestations,blanken,0.7143,20,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,antidiscriminatiebureaus,0.7096,2,0.4,context,discriminatie-,0
Contemporary_Manifestations,sluitende,0.709,2,1.0,core,uitsluiting,0
Contemporary_Manifestations,oordeelden,0.7082,2,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,etniciteit,0.707,11,0.9,strongly_related,etnische,0
Contemporary_Manifestations,psychologisch,0.7059,5,0.9,strongly_related,systematisch,0
Contemporary_Manifestations,problematisch,0.7054,14,0.9,strongly_related,systematisch,0
Contemporary_Manifestations,afro-nederlandse,0.7039,3,0.9,strongly_related,afro-caribische,0
Contemporary_Manifestations,paarse,0.7032,3,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,latijns-amerikaanse,0.7024,2,0.9,strongly_related,etnische,0
Contemporary_Manifestations,culturele,0.7002,148,0.9,strongly_related,etnische,0
Contemporary_Manifestations,afhandeling,0.6991,9,1.0,core,uitsluiting,0
Contemporary_Manifestations,beoordelen,0.6984,12,0.9,strongly_related,vooroordeel,0
Contemporary_Manifestations,nationaliteit,0.6982,18,0.9,strongly_related,etnische,0
Contemporary_Manifestations,grijs,0.6979,7,0.9,strongly_related,zwarten,0
Contemporary_Manifestations,territoriale,0.6976,2,0.9,strongly_related,institutioneel,0
