topic,term,cosine,df,weight,category,parent,is_seed,phase1_decision,phase1_reason,phase2_flag,phase2_priority,phase3_decision,phase3_action,phase4_decision,phase4_action,phase4_old_category,phase4_old_weight,phase5_adjustment,phase5_reason,weight_bin
Contemporary_Manifestations,institutioneel,1.0,57,0.9,strongly_related,institutioneel,1,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,racismevormen,1.0,2,0.7,moderately_related,racismevormen,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,xenofobie,1.0,2,0.7,moderately_related,xenofobie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,intolerantie,1.0,2,0.7,moderately_related,intolerantie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,genderdiscriminatie,1.0,1,0.7,moderately_related,genderdiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,zwangerschapsdiscriminatie,1.0,2,0.7,moderately_related,zwangerschapsdiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,leeftijdsdiscriminatie,1.0,2,0.7,moderately_related,leeftijdsdiscriminatie,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,uitsluitingswetten,1.0,1,0.7,moderately_related,uitsluitingswetten,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,raciaal-etnische,1.0,2,0.7,moderately_related,raciaal-etnische,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,huidskleuren,1.0,1,0.7,moderately_related,huidskleuren,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,discriminatiezaken,1.0,3,0.7,moderately_related,discriminatiezaken,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,discriminatiemelding,1.0,2,0.7,moderately_related,discriminatiemelding,1,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,discriminatie-,1.0,6,0.4,context,discriminatie-,1,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,0.50-0.59
Contemporary_Manifestations,stereotyperend,0.9809,2,0.9,strongly_related,stereotyperende,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,anti-zwarte,0.9664,2,0.9,strongly_related,anti-zwart,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,stereotypes,0.9651,3,0.9,strongly_related,stereotypen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,discriminatiezaak,0.9495,2,0.7,moderately_related,discriminatiezaken,0,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,stereotype,0.9455,6,0.9,strongly_related,stereotypen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,tolerantie,0.9417,11,0.7,moderately_related,intolerantie,0,KEEP,,,0,KEEP,,KEEP,,moderately_related,0.7,0.0,,0.60-0.69
Contemporary_Manifestations,discrimineren,0.9333,8,1.0,core,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,institutionele,0.9259,28,0.9,strongly_related,institutioneel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,anti-racisme,0.9193,3,1.0,core,anti-zwartracisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,afro-caraïbische,0.8929,3,0.9,strongly_related,afro-caribische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,discriminerend,0.8909,9,1.0,core,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,anti-racistisch,0.8851,3,1.0,core,anti-zwartracisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,antiracisme,0.8837,6,1.0,core,anti-zwartracisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,antiracisme-,0.8819,2,1.0,core,anti-zwartracisme,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,stereotypering,0.881,7,0.9,strongly_related,stereotyperingen,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,discriminatoire,0.8767,4,1.0,core,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,gediscrimineerde,0.875,2,1.0,core,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,antidiscriminatie-,0.8744,2,0.4,context,discriminatie-,0,KEEP,,,0,KEEP,,KEEP,,context,0.4,0.0,,0.50-0.59
Contemporary_Manifestations,discriminerende,0.87,10,1.0,core,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,non-discriminatiegronden,0.8612,3,0.9,strongly_related,discriminatiegronden,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,constitutionele,0.8607,20,0.9,strongly_related,institutioneel,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,gediscrimineerd,0.8524,20,1.0,core,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,systematiek,0.8467,10,0.9,strongly_related,systemische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
Contemporary_Manifestations,aansluit,0.8425,14,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,non-discriminatie,0.8404,8,1.0,core,discriminatie,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,opsluiting,0.8403,2,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,sluiting,0.8396,5,1.0,core,uitsluiting,0,KEEP,,,0,KEEP,,KEEP,,core,1.0,0.0,,0.96-1.00
Contemporary_Manifestations,nische,0.835,2,0.9,strongly_related,etnische,0,KEEP,,,0,KEEP,,KEEP,,strongly_related,0.9,0.0,,0.80-0.89
