topic,keyword,count
criminaliteit,voorwaard invrijheidstell,2
criminaliteit,inbrak,1
criminaliteit,verduister,1
criminaliteit,speurhond,1
criminaliteit,witwas,1
criminaliteit,verkracht,1
criminaliteit,overval,1
criminaliteit,gijzel,1
criminaliteit,criminaliser,1
criminaliteit,wederrecht,1
criminaliteit,wrak,1
gezondheidszorg,mer,3503
gezondheidszorg,gezond,678
gezondheidszorg,art,604
gezondheidszorg,ziekt,187
gezondheidszorg,patient,125
gezondheidszorg,sar,58
gezondheidszorg,virus,42
gezondheidszorg,terminal,40
gezondheidszorg,aid,39
gezondheidszorg,besmet,39
gezondheidszorg,hiv,38
gezondheidszorg,huisarts,34
gezondheidszorg,bevolkingsonderzoek,23
gezondheidszorg,paramedisch,20
gezondheidszorg,medic,19
gezondheidszorg,ziekenhuis,18
gezondheidszorg,kanker,17
gezondheidszorg,huisart,17
gezondheidszorg,tandheelkund,17
gezondheidszorg,wachtlijst,16
gezondheidszorg,verbrand,14
gezondheidszorg,intensiev zorg,14
gezondheidszorg,epidemie,12
gezondheidszorg,radioactief,11
gezondheidszorg,invaliditeit,9
gezondheidszorg,malaria,7
gezondheidszorg,voedselket,6
gezondheidszorg,bse,6
gezondheidszorg,ondervoed,6
gezondheidszorg,injectie,5
gezondheidszorg,transplantatie,5
gezondheidszorg,cm,4
gezondheidszorg,apotheker,4
gezondheidszorg,tbc,4
gezondheidszorg,griep,3
gezondheidszorg,brandwond,2
gezondheidszorg,medisch ingrep,2
gezondheidszorg,dement,2
gezondheidszorg,geestelijk gezond,2
gezondheidszorg,droger,1
gezondheidszorg,algemen ziekenhuiz,1
gezondheidszorg,euthanasie,1
huisvesting,woning,340
huisvesting,huisvest,292
huisvesting,saner,98
huisvesting,renovatie,92
huisvesting,huurder,81
huisvesting,huurwon,56
huisvesting,kadaster,47
huisvesting,daklos,26
huisvesting,woningtekort,10
huisvesting,woningnod,7
huisvesting,huurmarkt,6
huisvesting,dakloz,6
huisvesting,huurprijz,5
huisvesting,huurprijs,3
huisvesting,huursubsidie,2
huisvesting,appartement,2
huisvesting,wooncrisis,2
huisvesting,social woning,2
huisvesting,flat,1
immigratie,integratie,250
immigratie,migratie,190
immigratie,asielzoeker,147
immigratie,gren,138
immigratie,vreemdel,125
immigratie,vluchtel,124
immigratie,ind,111
immigratie,coa,104
immigratie,inburger,83
immigratie,illegal,71
immigratie,asiel,66
immigratie,immigratie,44
immigratie,nieuwkomer,35
immigratie,naturalisatie,16
immigratie,azc,10
immigratie,verblijfsvergunn,10
immigratie,gezinsheren,7
immigratie,antilliaan,5
immigratie,uitwijz,4
immigratie,emigrer,3
immigratie,immigrant,3
immigratie,illegaliteit,2
immigratie,nederland nationaliteit,2
immigratie,naturaliser,2
immigratie,ingeburgerd,1
milieu,duurzam,1400
milieu,milieu,361
milieu,co2,327
milieu,stikstof,216
milieu,klimaatakkoord,160
milieu,uitstot,144
milieu,klimaatverander,137
milieu,klimaatbeleid,127
milieu,ecologisch,114
milieu,biodiversiteit,109
milieu,saner,98
milieu,klimaatadaptatie,84
milieu,emissie,84
milieu,drinkwater,68
milieu,afval,54
milieu,bos,41
milieu,asbest,34
milieu,vervuil,28
milieu,verontrein,27
milieu,recycl,25
milieu,bom,22
milieu,boss,13
milieu,methan,13
milieu,ecologie,12
milieu,broeikasgas,10
milieu,opwarm van de aard,9
milieu,geluidsoverlast,5
milieu,bosbescherm,5
milieu,herbeboss,5
milieu,dierenbescherm,5
milieu,koral,4
milieu,ozon,3
milieu,bedreigd diersoort,3
milieu,beschermd soort,2
milieu,mangrov,2
milieu,bosbrand,1
milieu,beschermd diersoort,1
milieu,uitsterv,1
milieu,koolstof,1
milieu,ontbos,1
milieu,fijn stof,1
onderwijs,onderwijs,711
onderwijs,opleid,494
onderwijs,student,410
onderwijs,mbo,356
onderwijs,leerling,250
onderwijs,hbo,137
onderwijs,hogeschol,72
onderwijs,vmbo,65
onderwijs,diploma,54
onderwijs,schooljar,44
onderwijs,stag,37
onderwijs,havo,36
onderwijs,exam,29
onderwijs,lesgeld,28
onderwijs,erasmus,26
onderwijs,vwo,25
onderwijs,bachelor,23
onderwijs,leerkracht,17
onderwijs,pabo,15
onderwijs,leerjar,15
onderwijs,praktijkgericht,13
onderwijs,eindterm,9
onderwijs,leerplicht,4
onderwijs,kandidatur,3
onderwijs,leermethod,2
onderwijs,alumni,2
onderwijs,universit,1
religie,bisschop,87
religie,kerk,10
religie,imam,2
religie,katholiek,2
religie,islam,1
ruimtelijke_ordening,waterschapp,161
ruimtelijke_ordening,dijk,118
ruimtelijke_ordening,ruimtelijk orden,82
ruimtelijke_ordening,landschap,65
ruimtelijke_ordening,waterbeleid,64
ruimtelijke_ordening,waterbeher,42
ruimtelijke_ordening,natuurgebied,31
ruimtelijke_ordening,national park,23
ruimtelijke_ordening,ontmijn,10
ruimtelijke_ordening,gebruik van grondstoff,9
ruimtelijke_ordening,bagger,5
ruimtelijke_ordening,bosbeher,5
ruimtelijke_ordening,rioler,5
ruimtelijke_ordening,zandgrond,4
ruimtelijke_ordening,natuurdomein,4
ruimtelijke_ordening,waterbron,3
ruimtelijke_ordening,natur bronn,2
ruimtelijke_ordening,overstromingsgebied,1
ruimtelijke_ordening,plattelandsbeleid,1
ruimtelijke_ordening,natuurpark,1
ruimtelijke_ordening,habitatrichtlijn,1
sociale_zaken,uitker,918
sociale_zaken,pensioen,239
sociale_zaken,armoed,153
sociale_zaken,afstand,138
sociale_zaken,social zeker,137
sociale_zaken,aow,129
sociale_zaken,arbeidsongeschikt,98
sociale_zaken,oeso,83
sociale_zaken,minimumlon,74
sociale_zaken,ouderdom,35
sociale_zaken,goed bestur,35
sociale_zaken,betal woning,25
sociale_zaken,nvao,22
sociale_zaken,lag inkomen,20
sociale_zaken,kinderbijslag,14
sociale_zaken,herverdel,13
sociale_zaken,vrijwilligerswerk,11
sociale_zaken,social voorzien,9
sociale_zaken,sociaal beleid,8
sociale_zaken,cnv,6
sociale_zaken,inkomensdrempel,2
sociale_zaken,pensioensystem,1
sociale_zaken,gezinsbijslag,1
