Model,Weight_Tier,Mean_Distance,Std_Distance,Median_Distance,N_Terms
pretrained_bertje,core_problem,0.057675874646688476,0.015975055371638743,0.053819358348846436,173
pretrained_bertje,strong_problem,0.05495744878971654,0.021320295067897607,0.049203455448150635,461
pretrained_bertje,related_strong,0.055775259931882225,0.013892664427874951,0.0523456335067749,48
pretrained_bertje,related_moderate,0.0557293665559986,0.020065453530071647,0.05246531963348389,79
pretrained_bertje,era_context,0.06651086182821364,0.025662996914784002,0.05835527181625366,21
slavery_trained,core_problem,0.26769036536960933,0.0743038706159849,0.26781541109085083,173
slavery_trained,strong_problem,0.2426230526668648,0.1026526340303968,0.21740156412124634,461
slavery_trained,related_strong,0.2605896530052026,0.07779426927410282,0.25325873494148254,48
slavery_trained,related_moderate,0.2608184169364881,0.08456361196398919,0.25093114376068115,79
slavery_trained,era_context,0.2580258846282959,0.05021520227538465,0.23329287767410278,21
