Model,Group,Mean_Distance,Std_Distance,Median_Distance,Min_Distance,Max_Distance,N_Terms
pretrained_bertje,Seeds,0.029435149022749255,0.013482622114693532,0.0270654559135437,0.008192896842956543,0.07507836818695068,143.0
pretrained_bertje,Expanded,0.02996470978562261,0.014574840325181401,0.02632880210876465,0.00822150707244873,0.08359956741333008,639.0
pretrained_bertje,Separation,0.0005295607628733566,,,,,
slavery_trained,Seeds,0.1276859861987454,0.07513011298340605,0.11084961891174316,0.03531825542449951,0.3903042674064636,143.0
slavery_trained,Expanded,0.15142359420167448,0.08767300773499317,0.12866157293319702,0.03015124797821045,0.43934381008148193,639.0
slavery_trained,Separation,0.023737608002929067,,,,,
